Kreis / Kreisfreie Stadt,Fläche in km²,Bevölkerung insgesamt,Bevölkerung männlich,Bevölkerung weiblich,Einwohner je km²
Pforzheim,98,   117 754,   57 147,   60 607,   1 202
Calw,"797,51",   151 461,   75 016,   76 445,190
Enzkreis,"573,69",   192 811,   95 032,   97 779,336
Freudenstadt,"870,67",   114 793,   56 630,   58 163,132
Stadtkreise,98,   117 754,   57 147,   60 607,   1 202
Landkreise,"   2 241,87",   459 065,   226 678,   232 387,205
Region Zusammen,"   2 339,87",   576 819,   283 825,   292 994,247
Regierungsbezirk Zusammen,"   6 918,98",  2 702 831,  1 329 105,  1 373 726,391
davon Stadtkreise,"665,46",   918 672,   451 258,   467 414,   1 381
Landkreise,"   6 253,52",  1 784 159,   877 847,   906 312,285
,,,,,
,,,,,
Freiburg im Breisgau,"153,06",   220 286,   103 982,   116 304,   1 439
Breisgau-Hochschwarzwald,"   1 378,34",   250 137,   122 249,   127 888,181
Emmendingen,"679,88",   158 177,   77 608,   80 569,233
Ortenaukreis,"   1 860,78",   412 678,   203 550,   209 128,222
Stadtkreise,"153,06",   220 286,   103 982,   116 304,   1 439
Landkreise,"   3 919,00",   820 992,   403 407,   417 585,209
Region Zusammen,"   4 072,06",  1 041 278,   507 389,   533 889,256
,,,,,
Rottweil,"769,43",   135 319,   66 921,   68 398,176
Schwarzwald-Baar-Kreis,"   1 025,26",   205 090,   100 855,   104 235,200
Tuttlingen,"734,35",   133 198,   66 204,   66 994,181
Region Zusammen,"   2 529,04",   473 607,   233 980,   239 627,187
,,,,,
Konstanz,"817,97",   273 407,   132 172,   141 235,334
Lörrach,"806,77",   221 943,   108 111,   113 832,275
Waldshut,"   1 131,15",   164 265,   80 674,   83 591,145
Region Zusammen,"   2 755,89",   659 615,   320 957,   338 658,239
Regierungsbezirk Zusammen,"   9 356,99",  2 174 500,  1 062 326,  1 112 174,232
davon Stadtkreise,"153,06",   220 286,   103 982,   116 304,   1 439
Landkreise,"   9 203,93",  1 954 214,   958 344,   995 870,212
,,,,,
,,,,,
Reutlingen,"   1 092,72",   276 019,   135 326,   140 693,253
Tübingen,"519,19",   216 535,   105 212,   111 323,417
Zollernalbkreis,"917,71",   184 615,   90 722,   93 893,201
Region Zusammen,"   2 529,62",   677 169,   331 260,   345 909,268
,,,,,
Ulm,"118,69",   119 218,   58 341,   60 877,   1 004
Alb-Donau-Kreis,"   1 358,67",   187 892,   93 867,   94 025,138
Biberach,"   1 409,75",   188 696,   94 063,   94 633,134
Stadtkreise,"118,69",   119 218,   58 341,   60 877,   1 004
Landkreise,"   2 768,42",   376 588,   187 930,   188 658,136
Region Zusammen,"   2 887,11",   495 806,   246 271,   249 535,172
,,,,,
Bodenseekreis,"664,8",   207 450,   101 660,   105 790,312
Ravensburg,"   1 631,82",   273 540,   134 892,   138 648,168
Sigmaringen,"   1 204,34",   127 101,   62 980,   64 121,106
Region Zusammen,"   3 500,96",   608 091,   299 532,   308 559,174
Regierungsbezirk Zusammen,"   8 917,69",  1 781 066,   877 063,   904 003,200
davon Stadtkreise,"118,69",   119 218,   58 341,   60 877,   1 004
Landkreise,"   8 799,00",  1 661 848,   818 722,   843 126,189
Insgesamt,"   35 751,30",  10 631 278,  5 230 565,  5 400 713,297
davon Stadtkreise,"   1 244,44",  1 980 595,   970 434,  1 010 161,   1 592
Landkreise,"   34 506,86",  8 650 683,  4 260 131,  4 390 552,251
,,,,,
,,,,,
Ingolstadt,"133,37",   129 136,   64 731,   64 405,968
"München, Landeshauptstadt","310,74",  1 407 836,   683 126,   724 710,   4 531
Rosenheim,"37,22",   60 464,   29 546,   30 918,   1 625
